1,skatīties,watch
1,cilvēki,people
1,dāma,lady
1,lieta,thing
1,atbalsts,support
2,drīzāk,rather
2,mūsu,our
2,viņi,they
2,gāze,gas
2,palaist,run
3,cauri,through
3,atsevišķs,separate
3,vidus,middle
3,sieva,wife
3,pagaidiet,wait
4,pieci,five
4,skaidrs,certain
4,nu,either
4,cēlonis,cause
4,bērni,children
5,vidū,among
5,eļļa,oil
5,saskaņāar,under
5,enerģija,energy
5,justies,feel
6,nākamais,next
6,ir,have
6,klinšu,rock
6,objekts,object
6,smieties,laugh
7,dziedāt,sing
7,savvaļā,wild
7,segments,segment
7,nodaļa,division
7,apakšā,bottom
8,nav,don’t
8,domā,think
8,piekraste,coast
8,bāzes,basic
8,četri,four
9,river,river
9,elements,element
9,brūns,brown
9,kartes,card
9,city,city
10,vairāk,more
10,vienotā,single
10,izvēlieties,select
10,periods,period
10,dzelzs,iron
11,valsts,country
11,plecu,shoulder
11,dienvidu,south
11,astoņi,eight
11,atcerēties,remember
12,kā,as
12,nometne,camp
12,rakstisks,written
12,laika,weather
12,ietvert,include
13,riepa,tire
13,rakstīt,write
13,skaistums,beauty
13,dzēriens,drink
13,līdzskanis,consonant
14,gaļa,meat
14,cepure,hat
14,sk,see
14,temperatūras,temperature
14,nedz,nor
15,ocean,ocean
15,kopā,together
15,apvalks,shell
15,kāpt,climb
15,daļa,part
16,virzienā,toward
16,apdare,finish
16,plašs,wide
16,salīdzināt,compare
16,atrast,find
17,slikts,poor
17,jutās,felt
17,yard,yard
17,pārsteigums,surprise
17,dot,give
18,dziesma,song
18,grūti,difficult
18,augsta,high
18,aiz,behind
18,ātrs,fast
19,briesmas,danger
19,un,and
19,noteikt,determine
19,darbībasvārds,verb
19,samaksāt,pay
20,kāpēc,why
20,es,I
20,āda,skin
20,virve,rope
20,kukurūza,corn
21,viņš,he
21,vadītājs,head
21,paaugstināt,raise
21,tikai,only
21,aizgāja,went
22,skala,scale
22,pavasaris,spring
22,tops,top
22,kamēr,while
22,dzīve,life
23,punktuskaits,score
23,karsts,hot
23,mūzika,music
23,aizgājuši,gone
23,caurule,tube
24,šie,these
24,piedāvājums,offer
24,izsaukums,call
24,ugunsgrēks,fire
24,māja,house
25,vērtība,value
25,skābeklis,oxygen
25,bet,but
25,iemesls,reason
25,bija,were
26,nozīmēt,mean
26,tādējādi,thus
26,piegāde,supply
26,Lielā,grand
26,play,play
27,apstāties,stop
27,strāva,current
27,organizēt,arrange
27,pēc,after
27,balts,white
28,got,got
28,kolonna,column
28,cilvēku,human
28,atvieglot,ease
28,minūte,minute
29,par,about
29,ja,if
29,pacēlājs,lift
29,deviņi,nine
